"File","Count"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp01_domain_model\tests\test_value_objects_tenant.py","3"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp01_domain_model\tests\test_value_object_core.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp01_domain_model\tests\test_value_object_fastapi.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp01_domain_model\tests\test_value_object_nestjs.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp01_domain_model\tests\test_value_object_parser.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp02_multi_tenant\angular.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp02_multi_tenant\fastapi.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp02_multi_tenant\nestjs.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp02_multi_tenant\react.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp02_multi_tenant\recipes.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp02_multi_tenant\__init__.py","5"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp02_multi_tenant\tests\test_emitters.py","5"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp02_multi_tenant\tests\test_models.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp02_multi_tenant\tests\test_recipes.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp03_auth\angular.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp03_auth\fastapi.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp03_auth\nestjs.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp03_auth\parser.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp03_auth\react.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp03_auth\recipes.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp03_auth\__init__.py","7"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp03_auth\tests\test_angular.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp03_auth\tests\test_extended_models.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp03_auth\tests\test_extended_parser.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp03_auth\tests\test_fastapi.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp03_auth\tests\test_integration.py","8"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp03_auth\tests\test_models.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp03_auth\tests\test_nestjs.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp03_auth\tests\test_parser.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp03_auth\tests\test_react.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp03_auth\tests\test_recipes.py","3"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp04_rbac\parser.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp04_rbac\policy_engine.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp04_rbac\rbac_engine.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp04_rbac\__init__.py","8"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp04_rbac\tests\test_core_models.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp04_rbac\tests\test_integration.py","8"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp04_rbac\tests\test_models.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp05_event_driven\tests\test_e2e.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp05_event_driven\tests\test_emitters.py","3"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp05_event_driven\tests\test_models.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp05_event_driven\tests\test_pack.py","4"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp05_event_driven\tests\test_parser.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp05_event_driven\tests\test_recipes.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp06_api_gateway\angular.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp06_api_gateway\fastapi.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp06_api_gateway\nestjs.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp06_api_gateway\parser.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp06_api_gateway\react.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp06_api_gateway\recipes.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp06_api_gateway\route_fastapi.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp06_api_gateway\route_nestjs.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp06_api_gateway\route_parser.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp06_api_gateway\__init__.py","12"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp06_api_gateway\tests\test_e2e.py","6"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp06_api_gateway\tests\test_gateway_emitters.py","6"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp06_api_gateway\tests\test_kong_emitter.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp06_api_gateway\tests\test_kong_models.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp06_api_gateway\tests\test_models.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp06_api_gateway\tests\test_parser.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp06_api_gateway\tests\test_route_emitter.py","4"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp07_iac\docker.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp07_iac\fastapi.py","3"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp07_iac\models.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp07_iac\nestjs.py","3"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp07_iac\terraform.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp07_iac\__init__.py","4"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp07_iac\tests\test_fastapi.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp07_iac\tests\test_models.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp07_iac\tests\test_nestjs.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp08_database\fastapi.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp08_database\nestjs.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp08_database\parser.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp08_database\__init__.py","4"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp08_database\tests\test_advanced_capabilities.py","3"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp08_database\tests\test_emitters.py","4"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp08_database\tests\test_models.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp08_database\tests\test_parser.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp08_database\tests\test_recipes.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp09_cache\angular.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp09_cache\fastapi.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp09_cache\nestjs.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp09_cache\parser.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp09_cache\react.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp09_cache\warm_up.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp09_cache\__init__.py","13"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp09_cache\providers\__init__.py","4"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp09_cache\tests\test_decorators.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp09_cache\tests\test_e2e.py","6"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp09_cache\tests\test_emitters.py","3"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp09_cache\tests\test_frontend_emitters.py","3"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp09_cache\tests\test_models.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp09_cache\tests\test_parser.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp09_cache\tests\test_providers.py","3"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp09_cache\tests\test_warm_up.py","3"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp10_search\angular.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp10_search\fastapi.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp10_search\nestjs.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp10_search\parser.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp10_search\react.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp10_search\recipes.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp10_search\__init__.py","6"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp10_search\tests\test_e2e.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp10_search\tests\test_recipes.py","7"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp10_search\tests\test_search_angular.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp10_search\tests\test_search_fastapi.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp10_search\tests\test_search_models.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp10_search\tests\test_search_models_extended.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp10_search\tests\test_search_nestjs.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp10_search\tests\test_search_parser.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp10_search\tests\test_search_parser_extended.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp10_search\tests\test_search_react.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp11_file_media\angular.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp11_file_media\fastapi.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp11_file_media\nestjs.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp11_file_media\parser.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp11_file_media\react.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp11_file_media\recipes.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp11_file_media\__init__.py","7"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp11_file_media\providers\local.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp11_file_media\providers\s3.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp11_file_media\providers\__init__.py","3"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp11_file_media\tests\test_cdn_models.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp11_file_media\tests\test_cp11_angular.py","10"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp11_file_media\tests\test_cp11_emitters.py","4"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp11_file_media\tests\test_cp11_fastapi.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp11_file_media\tests\test_cp11_models.py","30"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp11_file_media\tests\test_cp11_nestjs.py","4"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp11_file_media\tests\test_cp11_pack.py","5"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp11_file_media\tests\test_cp11_parser.py","9"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp11_file_media\tests\test_cp11_providers.py","4"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp11_file_media\tests\test_cp11_react.py","10"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp11_file_media\tests\test_recipes.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp12_notification\fastapi.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp12_notification\i18n.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp12_notification\parser.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp12_notification\recipes.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp12_notification\retry_policy.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp12_notification\template_engine.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp12_notification\__init__.py","8"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp12_notification\providers\base.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp12_notification\providers\firebase.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp12_notification\providers\sendgrid.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp12_notification\providers\ses.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp12_notification\providers\smtp.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp12_notification\providers\twilio.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp12_notification\providers\webhook.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp12_notification\providers\__init__.py","7"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp12_notification\tests\test_i18n.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp12_notification\tests\test_models.py","36"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp12_notification\tests\test_models_extended.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp12_notification\tests\test_parser.py","15"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp12_notification\tests\test_providers.py","7"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp12_notification\tests\test_rate_limiter.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp12_notification\tests\test_recipes.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp12_notification\tests\test_retry_policy.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp12_notification\tests\test_template_engine.py","17"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp13_workflow_runtime\queue_provider.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp13_workflow_runtime\effects\audit.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp13_workflow_runtime\tests\test_dag.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp13_workflow_runtime\tests\test_engine.py","15"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp13_workflow_runtime\tests\test_fastapi.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp13_workflow_runtime\tests\test_guards.py","39"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp13_workflow_runtime\tests\test_models.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp13_workflow_runtime\tests\test_nestjs.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp13_workflow_runtime\tests\test_parser.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp13_workflow_runtime\tests\test_queue_provider.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp13_workflow_runtime\tests\test_retry_dlq.py","4"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp13_workflow_runtime\tests\test_saga.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp13_workflow_runtime\tests\test_scheduler.py","26"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp14_audit_compliance\angular.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp14_audit_compliance\audit_engine.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp14_audit_compliance\fastapi.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp14_audit_compliance\nestjs.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp14_audit_compliance\parser.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp14_audit_compliance\react.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp14_audit_compliance\recipes.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp14_audit_compliance\__init__.py","7"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp14_audit_compliance\tests\test_audit_engine.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp14_audit_compliance\tests\test_emitters.py","5"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp14_audit_compliance\tests\test_ledger_report_models.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp14_audit_compliance\tests\test_models.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp14_audit_compliance\tests\test_parser.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp14_audit_compliance\tests\test_recipes.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp15_observability\logging.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp15_observability\metrics.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp15_observability\parser.py","4"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp15_observability\__init__.py","9"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp15_observability\tests\test_observability_engine.py","4"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp15_observability\tests\test_observability_integration.py","23"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp15_observability\tests\test_observability_models.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp15_observability\tests\test_observability_parser.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp15_observability\tests\test_observability_templates.py","10"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp16_monitoring\alert.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp16_monitoring\dashboard.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp16_monitoring\parser.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp16_monitoring\sli.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp16_monitoring\__init__.py","9"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp16_monitoring\tests\test_emitters.py","4"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp16_monitoring\tests\test_monitoring_engine.py","4"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp16_monitoring\tests\test_monitoring_integration.py","5"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp16_monitoring\tests\test_monitoring_models.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp16_monitoring\tests\test_monitoring_parser.py","6"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp16_monitoring\tests\test_new_models.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp16_monitoring\tests\test_recipes.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp17_bi_analytics\analytics_engine.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp17_bi_analytics\dashboard_builder.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp17_bi_analytics\parser.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp17_bi_analytics\report_scheduler.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp17_bi_analytics\__init__.py","9"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp17_bi_analytics\tests\test_coverage_gaps.py","6"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp17_bi_analytics\tests\test_engine.py","4"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp17_bi_analytics\tests\test_integration.py","53"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp17_bi_analytics\tests\test_models.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp17_bi_analytics\tests\test_parser.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp17_bi_analytics\tests\test_templates.py","10"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp18_frontend_framework\angular.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp18_frontend_framework\fastapi.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp18_frontend_framework\nestjs.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp18_frontend_framework\parser.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp18_frontend_framework\react.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp18_frontend_framework\__init__.py","6"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp18_frontend_framework\tests\test_emitters.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp18_frontend_framework\tests\test_parser.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp19_ui_components\angular.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp19_ui_components\fastapi.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp19_ui_components\nestjs.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp19_ui_components\react.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp19_ui_components\__init__.py","5"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp19_ui_components\tests\test_emitter_detail_and_edge_cases.py","19"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp19_ui_components\tests\test_per_ui_component_expansion.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp19_ui_components\tests\test_phase7_tests.py","11"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp19_ui_components\tests\test_ui_component_emitters.py","17"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp19_ui_components\tests\test_ui_component_integration.py","7"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp19_ui_components\tests\test_ui_component_models.py","31"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp20_api_client\angular.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp20_api_client\fastapi.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp20_api_client\nestjs.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp20_api_client\react.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp20_api_client\__init__.py","5"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp20_api_client\tests\test_fastapi.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp20_api_client\tests\test_models.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp21_auth_ui\angular.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp21_auth_ui\models.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp21_auth_ui\react.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp21_auth_ui\__init__.py","3"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp21_auth_ui\tests\test_angular.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp21_auth_ui\tests\test_integration.py","3"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp21_auth_ui\tests\test_models.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp21_auth_ui\tests\test_react.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp22_realtime_ui\__init__.py","5"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp22_realtime_ui\tests\test_realtime_angular_emitter.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp22_realtime_ui\tests\test_realtime_models.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp22_realtime_ui\tests\test_realtime_parser.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp22_realtime_ui\tests\test_realtime_react_emitter.py","3"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp23_testing_framework\angular.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp23_testing_framework\fastapi.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp23_testing_framework\nestjs.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp23_testing_framework\parser.py","2"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp23_testing_framework\react.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp23_testing_framework\recipes.py","1"
"D:\hemidi-labs\midicoder-ce\midicoder\packs\cp23_testing_framework\__init__.py","7"
